R,V,S,E,P,H,landslide
0.114,0.334,0.684,0.813,0.433,0.449,1
0.28,0.778,0.49,0.68,0.582,0.276,0
0.637,0.903,0.859,0.873,0.69,0.664,1
0.429,0.36,0.635,0.828,0.183,0.503,0
0.662,0.909,0.945,0.401,0.88,0.809,1
0.266,0.191,0.756,0.605,0.905,0.6,1
0.399,0.149,0.805,0.528,0.773,0.519,0
0.786,0.156,0.409,0.777,0.609,0.263,1
0.833,0.288,0.788,0.323,0.616,0.435,1
0.571,0.433,0.925,0.569,0.805,0.639,1
0.509,0.869,0.22,0.676,0.346,0.233,0
0.308,0.782,0.201,0.577,0.416,0.341,0
0.634,0.662,0.743,0.613,0.315,0.545,1
0.673,0.502,0.406,0.825,0.398,0.803,0
0.445,0.954,0.215,0.807,0.854,0.823,0
0.737,0.657,0.8,0.799,0.285,0.531,1
0.939,0.105,0.153,0.405,0.217,0.229,0
0.564,0.552,0.61,0.46,0.48,0.799,1
0.509,0.358,0.827,0.595,0.12,0.765,1
0.764,0.454,0.797,0.619,0.561,0.087,1
0.22,0.148,0.296,0.823,0.786,0.664,1
0.747,0.199,0.675,0.429,0.8,0.138,0
0.547,0.62,0.508,0.74,0.635,0.808,1
0.58,0.691,0.678,0.333,0.027,0.347,0
0.256,0.884,0.848,0.816,0.416,0.474,0
0.206,0.561,0.576,0.833,0.2,0.56,0
0.894,0.177,0.806,0.651,0.724,0.302,1
0.305,0.824,0.671,0.493,0.455,0.261,0
0.72,0.886,0.844,0.809,0.699,0.852,1
0.376,0.609,0.411,0.834,0.757,0.53,0
0.516,0.483,0.872,0.465,0.73,0.267,1
0.242,0.31,0.797,0.627,0.893,0.634,1
0.568,0.673,0.637,0.259,0.45,0.889,0
0.559,0.149,0.582,0.668,0.86,0.586,1
0.811,0.422,0.789,0.662,0.812,0.525,1
0.392,0.785,0.705,0.282,0.506,0.435,1
0.425,0.117,0.483,0.101,0.942,0.149,1
0.914,0.634,0.719,0.712,0.111,0.446,1
0.374,0.487,0.772,0.496,0.399,0.673,1
0.924,0.274,0.406,0.471,0.416,0.538,1
0.445,0.851,0.901,0.693,0.254,0.958,1
0.819,0.726,0.581,0.325,0.991,0.508,1
0.323,0.519,0.59,0.814,0.348,0.235,0
0.143,0.566,0.354,0.392,0.93,0.59,1
0.123,0.464,0.547,0.847,0.679,0.301,1
0.375,0.225,0.886,0.894,0.794,0.697,1
0.641,0.325,0.548,0.824,0.935,0.757,1
0.181,0.421,0.606,0.771,0.439,0.349,1
0.303,0.483,0.341,0.234,0.09,0.426,0
0.165,0.506,0.864,0.649,0.281,0.51,1
0.909,0.41,0.695,0.505,0.534,0.075,1
0.771,0.447,0.46,0.702,0.198,0.408,1
0.203,0.747,0.658,0.647,0.477,0.513,0
0.167,0.596,0.617,0.376,0.554,0.235,0
0.312,0.231,0.631,0.33,0.853,0.646,0
0.617,0.596,0.803,0.313,0.197,0.201,0
0.724,0.232,0.581,0.102,0.474,0.559,1
0.56,0.402,0.924,0.257,0.342,0.217,1
0.269,0.638,0.843,0.629,0.636,0.696,1
0.428,0.601,0.636,0.442,0.192,0.941,0
0.189,0.638,0.524,0.572,0.784,0.667,0
0.546,0.613,0.72,0.671,0.216,0.586,1
0.549,0.642,0.947,0.311,0.337,0.79,0
0.585,0.207,0.406,0.63,0.816,0.621,1
0.173,0.314,0.67,0.511,0.103,0.457,1
0.107,0.357,0.55,0.708,0.343,0.376,1
0.277,0.633,0.824,0.726,0.665,0.141,0
0.622,0.488,0.552,0.502,0.45,0.056,1
0.402,0.531,0.649,0.191,0.726,0.681,1
0.157,0.112,0.58,0.671,0.492,0.358,1
0.815,0.169,0.386,0.263,0.85,0.597,1
0.592,0.802,0.863,0.797,0.143,0.773,0
0.281,0.376,0.846,0.148,0.905,0.617,1
0.695,0.222,0.599,0.503,0.783,0.355,1
0.401,0.394,0.908,0.283,0.367,0.094,1
0.738,0.751,0.72,0.456,0.324,0.813,1
0.394,0.528,0.713,0.116,0.931,0.746,1
0.556,0.279,0.769,0.893,0.284,0.395,1
0.691,0.638,0.405,0.444,0.359,0.4,1
0.394,0.735,0.818,0.232,0.138,0.454,0
0.657,0.695,0.91,0.453,0.937,0.547,0
0.717,0.751,0.687,0.433,0.403,0.394,1
0.496,0.382,0.851,0.812,0.708,0.202,1
0.322,0.384,0.688,0.789,0.626,0.711,1
0.765,0.235,0.4,0.208,0.31,0.152,0
0.559,0.651,0.593,0.379,0.349,0.241,1
0.621,0.14,0.365,0.963,0.613,0.082,0
0.081,0.492,0.9,0.48,0.3,0.698,1
0.357,0.955,0.841,0.143,0.16,0.404,0
0.282,0.508,0.77,0.053,0.613,0.937,0
0.49,0.226,0.548,0.462,0.173,0.531,1
0.588,0.361,0.587,0.185,0.734,0.843,1
0.539,0.367,0.909,0.612,0.196,0.38,1
0.476,0.214,0.773,0.294,0.893,0.122,1
0.783,0.304,0.931,0.421,0.685,0.611,0
0.442,0.546,0.751,0.545,0.469,0.655,1
0.149,0.801,0.465,0.733,0.468,0.726,0
0.601,0.588,0.507,0.219,0.797,0.27,1
0.357,0.701,0.965,0.555,0.15,0.675,1
0.633,0.415,0.944,0.637,0.359,0.286,0
0.691,0.342,0.616,0.84,0.581,0.573,0
0.917,0.56,0.672,0.278,0.234,0.161,1
0.69,0.767,0.51,0.311,0.544,0.348,1
0.226,0.248,0.508,0.802,0.581,0.226,0
0.221,0.405,0.731,0.665,0.741,0.765,1
0.344,0.649,0.923,0.48,0.311,0.638,1
0.25,0.358,0.299,0.418,0.553,0.48,1
0.735,0.604,0.431,0.501,0.618,0.313,1
0.536,0.75,0.826,0.319,0.359,0.515,0
0.628,0.802,0.964,0.429,0.536,0.145,1
0.499,0.874,0.671,0.902,0.099,0.501,1
0.737,0.312,0.383,0.398,0.338,0.835,0
0.548,0.498,0.642,0.866,0.571,0.313,0
0.679,0.805,0.381,0.562,0.265,0.426,1
0.736,0.502,0.844,0.346,0.893,0.344,1
0.704,0.548,0.269,0.308,0.73,0.16,1
0.186,0.649,0.649,0.661,0.111,0.228,0
0.468,0.21,0.607,0.767,0.288,0.72,1
0.202,0.719,0.858,0.524,0.638,0.827,0
0.127,0.465,0.864,0.467,0.265,0.525,1
0.765,0.681,0.711,0.573,0.423,0.749,1
0.775,0.517,0.313,0.206,0.624,0.593,1
0.621,0.625,0.599,0.713,0.974,0.418,1
0.456,0.709,0.757,0.258,0.357,0.388,0
0.263,0.748,0.638,0.438,0.762,0.861,1
0.385,0.787,0.487,0.4,0.475,0.572,0
0.844,0.598,0.736,0.407,0.422,0.542,1
0.103,0.591,0.568,0.646,0.854,0.876,0
0.149,0.322,0.277,0.757,0.275,0.683,1
0.233,0.911,0.062,0.718,0.498,0.791,1
0.47,0.89,0.758,0.965,0.326,0.402,1
0.668,0.364,0.855,0.21,0.493,0.485,1
0.712,0.532,0.63,0.804,0.776,0.769,1
0.639,0.36,0.873,0.631,0.841,0.72,1
0.831,0.385,0.73,0.145,0.8,0.876,1
0.672,0.612,0.685,0.534,0.071,0.243,1
0.782,0.538,0.683,0.721,0.233,0.144,0
0.311,0.417,0.882,0.343,0.389,0.095,1
0.223,0.243,0.54,0.749,0.857,0.226,1
0.385,0.291,0.431,0.201,0.474,0.441,1
0.826,0.205,0.267,0.441,0.393,0.911,1
0.554,0.296,0.122,0.705,0.495,0.768,1
0.675,0.165,0.573,0.688,0.392,0.278,1
0.645,0.242,0.58,0.537,0.646,0.24,0
0.632,0.898,0.647,0.331,0.8,0.099,0
0.532,0.604,0.626,0.419,0.819,0.479,1
0.337,0.311,0.784,0.537,0.533,0.761,1
0.525,0.402,0.466,0.544,0.44,0.256,1
0.623,0.348,0.651,0.568,0.924,0.243,1
0.353,0.555,0.839,0.505,0.798,0.876,1
0.267,0.336,0.844,0.317,0.347,0.756,1
0.152,0.373,0.687,0.316,0.792,0.678,0
0.64,0.263,0.672,0.714,0.578,0.228,0
0.244,0.632,0.914,0.469,0.614,0.572,1
0.334,0.35,0.661,0.654,0.391,0.59,0
0.86,0.356,0.965,0.679,0.69,0.369,0
0.053,0.481,0.581,0.209,0.164,0.317,0
0.139,0.977,0.731,0.437,0.25,0.702,1
0.411,0.216,0.645,0.457,0.281,0.091,1
0.88,0.832,0.683,0.381,0.756,0.547,1
0.873,0.103,0.759,0.929,0.125,0.599,1
0.275,0.069,0.678,0.229,0.263,0.331,0
0.405,0.766,0.705,0.432,0.469,0.537,1
0.234,0.707,0.469,0.14,0.343,0.398,0
0.392,0.114,0.447,0.265,0.708,0.802,1
0.637,0.422,0.55,0.119,0.751,0.473,1
0.6,0.063,0.574,0.654,0.305,0.646,0
0.262,0.651,0.474,0.334,0.843,0.676,1
0.616,0.647,0.794,0.573,0.601,0.698,0
0.9,0.693,0.82,0.431,0.821,0.624,1
0.264,0.647,0.472,0.429,0.565,0.42,1
0.396,0.424,0.983,0.319,0.567,0.477,1
0.652,0.73,0.376,0.546,0.313,0.891,0
0.378,0.849,0.718,0.626,0.325,0.332,1
0.86,0.266,0.593,0.407,0.562,0.364,1
0.5,0.1,0.61,0.286,0.865,0.631,0
0.439,0.121,0.894,0.277,0.695,0.454,1
0.201,0.167,0.493,0.236,0.233,0.334,1
0.383,0.255,0.357,0.203,0.327,0.83,0
0.712,0.467,0.613,0.364,0.527,0.364,1
0.361,0.853,0.441,0.657,0.565,0.56,0
0.199,0.409,0.327,0.621,0.527,0.483,1
0.296,0.411,0.409,0.366,0.346,0.512,0
0.42,0.305,0.488,0.594,0.974,0.497,1
0.357,0.26,0.855,0.492,0.229,0.583,1
0.658,0.628,0.825,0.586,0.319,0.946,1
0.804,0.594,0.415,0.386,0.193,0.777,0
0.325,0.115,0.726,0.654,0.613,0.871,0
0.633,0.684,0.596,0.609,0.673,0.307,1
0.144,0.373,0.802,0.26,0.259,0.22,0
0.323,0.366,0.124,0.373,0.291,0.288,1
0.834,0.463,0.78,0.583,0.283,0.491,1
0.782,0.533,0.459,0.312,0.661,0.634,1
0.51,0.34,0.654,0.303,0.469,0.416,1
0.732,0.322,0.645,0.529,0.9,0.443,1
0.55,0.858,0.668,0.316,0.216,0.296,0
0.429,0.627,0.327,0.346,0.695,0.81,0
0.48,0.241,0.88,0.66,0.321,0.263,0
0.066,0.566,0.641,0.409,0.746,0.768,1
0.665,0.239,0.498,0.09,0.764,0.665,1
0.597,0.551,0.611,0.825,0.537,0.737,1
0.458,0.178,0.601,0.765,0.428,0.638,0
0.623,0.522,0.169,0.31,0.644,0.256,1
0.344,0.228,0.342,0.629,0.988,0.845,1
0.694,0.625,0.796,0.705,0.512,0.374,1
0.195,0.664,0.529,0.209,0.927,0.477,1
0.428,0.672,0.347,0.622,0.264,0.667,0
0.165,0.229,0.428,0.566,0.422,0.646,0
0.61,0.575,0.767,0.248,0.752,0.476,1
0.738,0.794,0.903,0.452,0.426,0.582,1
0.118,0.737,0.613,0.697,0.778,0.473,0
0.775,0.14,0.959,0.609,0.464,0.421,1
0.519,0.501,0.161,0.493,0.788,0.354,1
0.471,0.807,0.562,0.479,0.121,0.136,1
0.561,0.784,0.526,0.638,0.068,0.268,0
0.743,0.097,0.416,0.403,0.285,0.468,1
0.343,0.243,0.777,0.242,0.688,0.833,0
0.761,0.856,0.513,0.813,0.234,0.788,0
0.624,0.342,0.465,0.622,0.241,0.12,0
0.567,0.459,0.26,0.505,0.529,0.353,1
0.334,0.203,0.578,0.702,0.239,0.448,0
0.854,0.463,0.683,0.405,0.54,0.219,1
0.4,0.807,0.808,0.677,0.758,0.538,1
0.203,0.579,0.411,0.171,0.657,0.101,1
0.487,0.141,0.911,0.382,0.103,0.449,1
0.757,0.334,0.833,0.132,0.483,0.391,1
0.352,0.818,0.607,0.786,0.595,0.303,0
0.634,0.185,0.248,0.845,0.436,0.74,1
0.364,0.59,0.425,0.62,0.585,0.667,1
0.246,0.207,0.565,0.632,0.109,0.954,0
0.754,0.673,0.387,0.203,0.717,0.343,0
0.674,0.177,0.583,0.515,0.574,0.667,0
0.562,0.403,0.792,0.436,0.234,0.253,1
0.374,0.553,0.985,0.28,0.44,0.171,1
0.538,0.854,0.524,0.474,0.239,0.413,1
0.941,0.703,0.472,0.587,0.765,0.212,1
0.703,0.684,0.367,0.271,0.669,0.332,0
0.417,0.176,0.933,0.101,0.704,0.161,1
0.336,0.795,0.777,0.365,0.366,0.668,1
0.236,0.629,0.535,0.358,0.368,0.521,0
0.764,0.294,0.967,0.398,0.67,0.529,1
0.432,0.577,0.402,0.309,0.329,0.509,0
0.738,0.433,0.23,0.756,0.033,0.77,0
0.442,0.685,0.709,0.336,0.198,0.424,0
0.011,0.448,0.555,0.714,0.541,0.629,1
0.129,0.368,0.36,0.253,0.414,0.532,1
0.299,0.398,0.33,0.46,0.447,0.366,1
0.341,0.82,0.679,0.57,0.734,0.111,0
0.854,0.148,0.277,0.895,0.453,0.425,0
0.613,0.386,0.49,0.16,0.44,0.102,0
0.483,0.693,0.966,0.496,0.118,0.062,1
0.638,0.619,0.378,0.747,0.342,0.513,1
0.831,0.042,0.12,0.903,0.177,0.356,1
0.66,0.836,0.741,0.386,0.618,0.347,1
0.422,0.581,0.878,0.387,0.346,0.402,1
0.241,0.426,0.76,0.107,0.155,0.675,0
0.356,0.736,0.778,0.587,0.506,0.848,1
0.464,0.251,0.527,0.511,0.472,0.332,0
0.405,0.095,0.439,0.684,0.891,0.362,0
0.58,0.849,0.893,0.713,0.71,0.676,0
0.562,0.675,0.516,0.327,0.761,0.351,0
0.29,0.667,0.969,0.569,0.364,0.282,1
0.498,0.554,0.093,0.982,0.967,0.714,1
0.635,0.639,0.788,0.171,0.519,0.33,0
0.658,0.551,0.755,0.324,0.161,0.25,0
0.28,0.145,0.304,0.271,0.074,0.455,0
0.473,0.575,0.699,0.187,0.898,0.653,1
0.642,0.405,0.739,0.761,0.298,0.256,0
0.218,0.698,0.503,0.718,0.547,0.349,0
0.926,0.334,0.562,0.394,0.67,0.851,1
0.823,0.263,0.805,0.7,0.971,0.571,1
0.196,0.45,0.854,0.382,0.31,0.465,0
0.41,0.47,0.41,0.467,0.729,0.717,0
0.579,0.587,0.86,0.49,0.829,0.767,1
0.062,0.468,0.976,0.322,0.618,0.308,1
0.818,0.222,0.745,0.203,0.211,0.685,1
0.399,0.83,0.684,0.617,0.362,0.429,1
0.652,0.812,0.958,0.012,0.069,0.049,1
0.544,0.815,0.07,0.251,0.368,0.618,0
0.587,0.486,0.765,0.821,0.865,0.651,1
0.42,0.145,0.516,0.067,0.517,0.452,1
0.476,0.357,0.277,0.591,0.666,0.744,1
0.455,0.107,0.491,0.478,0.85,0.808,1
0.424,0.012,0.439,0.498,0.865,0.842,1
0.714,0.397,0.718,0.292,0.16,0.146,0
0.646,0.854,0.612,0.566,0.694,0.47,1
0.458,0.38,0.168,0.813,0.355,0.671,1
0.78,0.504,0.715,0.859,0.226,0.445,0
0.503,0.365,0.355,0.653,0.645,0.258,1
0.349,0.416,0.992,0.667,0.241,0.313,1
0.604,0.79,0.696,0.372,0.605,0.51,1
0.506,0.504,0.986,0.475,0.623,0.551,1
0.421,0.915,0.536,0.868,0.582,0.398,1
0.474,0.434,0.891,0.804,0.519,0.144,1
0.584,0.259,0.465,0.586,0.421,0.513,1
0.639,0.535,0.548,0.636,0.663,0.532,1
0.439,0.363,0.933,0.751,0.434,0.317,1
0.846,0.756,0.956,0.55,0.758,0.791,1
0.167,0.313,0.506,0.496,0.152,0.268,0
0.346,0.436,0.82,0.642,0.411,0.69,1
0.42,0.375,0.533,0.845,0.741,0.428,0
0.475,0.544,0.738,0.246,0.818,0.614,1
0.481,0.742,0.771,0.376,0.752,0.871,1
0.537,0.784,0.775,0.556,0.29,0.766,0
0.465,0.908,0.447,0.231,0.718,0.489,1
0.971,0.884,0.947,0.707,0.362,0.991,1
0.128,0.193,0.617,0.101,0.356,0.87,0
0.469,0.313,0.372,0.184,0.302,0.399,0
0.524,0.107,0.905,0.706,0.345,0.802,0
0.17,0.407,0.5,0.817,0.411,0.327,1
0.495,0.423,0.77,0.478,0.777,0.526,1
0.444,0.841,0.887,0.799,0.59,0.652,0
0.477,0.395,0.898,0.721,0.541,0.439,1
0.491,0.293,0.896,0.992,0.671,0.44,1
0.826,0.093,0.655,0.173,0.945,0.319,1
0.184,0.224,0.483,0.141,0.695,0.349,1
0.539,0.424,0.218,0.545,0.324,0.711,1
0.476,0.898,0.598,0.41,0.322,0.942,1
0.802,0.532,0.746,0.848,0.464,0.2,1
0.448,0.437,0.292,0.638,0.53,0.215,0
0.267,0.3,0.824,0.795,0.601,0.446,1
0.227,0.472,0.761,0.247,0.637,0.341,1
0.623,0.425,0.649,0.425,0.262,0.204,1
0.198,0.52,0.849,0.665,0.282,0.668,1
0.171,0.399,0.784,0.396,0.55,0.612,1
0.446,0.66,0.394,0.366,0.731,0.797,1
0.744,0.462,0.239,0.351,0.426,0.255,0
0.3,0.545,0.652,0.486,0.648,0.343,0
0.548,0.069,0.609,0.534,0.555,0.398,1
0.47,0.382,0.787,0.211,0.355,0.319,1
0.216,0.732,0.433,0.642,0.122,0.353,0
0.728,0.225,0.585,0.693,0.518,0.844,1
0.639,0.661,0.596,0.285,0.528,0.292,1
0.481,0.837,0.676,0.617,0.57,0.325,0
0.686,0.314,0.525,0.409,0.719,0.305,1
0.847,0.731,0.706,0.221,0.554,0.881,1
0.509,0.361,0.675,0.1,0.175,0.242,0
0.108,0.858,0.07,0.653,0.456,0.462,0
0.223,0.525,0.448,0.138,0.701,0.289,0
0.37,0.814,0.749,0.239,0.065,0.298,1
0.159,0.805,0.893,0.517,0.717,0.751,1
0.419,0.559,0.506,0.361,0.1,0.95,1
0.751,0.518,0.593,0.832,0.544,0.328,0
0.353,0.698,0.31,0.733,0.856,0.472,0
0.543,0.657,0.486,0.278,0.492,0.212,0
0.553,0.899,0.382,0.117,0.445,0.715,1
0.508,0.565,0.516,0.868,0.476,0.06,1
0.529,0.358,0.351,0.755,0.79,0.227,1
0.425,0.904,0.393,0.475,0.648,0.146,1
0.56,0.459,0.493,0.601,0.645,0.645,1
0.76,0.682,0.553,0.61,0.301,0.495,0
0.604,0.714,0.889,0.723,0.103,0.433,1
0.499,0.046,0.757,0.966,0.465,0.551,1
0.266,0.615,0.368,0.259,0.495,0.346,0
0.626,0.669,0.76,0.704,0.522,0.845,1
0.242,0.323,0.849,0.606,0.572,0.603,0
0.616,0.497,0.724,0.386,0.769,0.307,1
0.326,0.231,0.551,0.764,0.463,0.552,0
0.943,0.494,0.529,0.62,0.321,0.485,1
0.671,0.62,0.437,0.315,0.261,0.585,0
0.308,0.694,0.645,0.543,0.693,0.168,0
0.601,0.808,0.27,0.389,0.961,0.258,0
0.809,0.425,0.789,0.475,0.808,0.643,1
0.15,0.205,0.63,0.247,0.426,0.455,1
0.553,0.349,0.56,0.681,0.489,0.394,1
0.395,0.321,0.19,0.372,0.359,0.642,1
0.502,0.159,0.828,0.789,0.32,0.196,1
0.534,0.381,0.403,0.741,0.309,0.125,0
0.162,0.474,0.914,0.051,0.272,0.858,0
0.852,0.395,0.659,0.539,0.834,0.2,0
0.447,0.378,0.739,0.367,0.394,0.209,0
0.759,0.442,0.617,0.418,0.7,0.213,1
0.278,0.267,0.707,0.683,0.549,0.685,1
0.597,0.74,0.781,0.585,0.72,0.627,1
0.036,0.517,0.757,0.934,0.26,0.408,1
0.603,0.87,0.755,0.862,0.324,0.806,1
0.773,0.68,0.366,0.425,0.496,0.599,1
0.741,0.492,0.967,0.736,0.599,0.344,1
0.832,0.213,0.461,0.787,0.92,0.595,1
0.597,0.41,0.946,0.348,0.621,0.429,0
0.763,0.878,0.771,0.234,0.864,0.495,0
0.387,0.038,0.774,0.876,0.528,0.494,1
0.179,0.887,0.97,0.693,0.414,0.515,0
0.885,0.319,0.862,0.586,0.181,0.479,1
0.517,0.18,0.794,0.37,0.528,0.517,1
0.233,0.485,0.229,0.193,0.468,0.283,0
0.672,0.352,0.823,0.148,0.268,0.261,1
0.708,0.494,0.029,0.738,0.613,0.085,0
0.923,0.796,0.583,0.446,0.086,0.499,1
0.568,0.374,0.894,0.436,0.538,0.59,0
0.252,0.232,0.481,0.446,0.433,0.529,1
0.467,0.631,0.883,0.181,0.136,0.318,1
0.157,0.207,0.745,0.404,0.724,0.811,1
0.391,0.491,0.746,0.783,0.744,0.698,0
0.595,0.428,0.862,0.743,0.333,0.503,1
0.745,0.845,0.804,0.453,0.641,0.34,0
0.767,0.3,0.68,0.768,0.205,0.674,1
0.835,0.236,0.512,0.301,0.703,0.192,1
0.719,0.448,0.799,0.558,0.424,0.468,1
0.312,0.697,0.859,0.627,0.367,0.566,1
0.462,0.805,0.545,0.652,0.726,0.072,1
0.268,0.384,0.696,0.138,0.196,0.357,0
0.301,0.601,0.724,0.336,0.116,0.783,1
0.612,0.425,0.543,0.475,0.723,0.282,0
0.241,0.519,0.791,0.435,0.386,0.472,1
0.251,0.377,0.52,0.302,0.226,0.49,1
0.313,0.883,0.444,0.3,0.886,0.384,0
0.247,0.38,0.418,0.704,0.613,0.277,0
0.608,0.947,0.748,0.366,0.37,0.263,1
0.569,0.725,0.825,0.244,0.436,0.917,1
0.496,0.198,0.593,0.61,0.384,0.727,1
0.48,0.39,0.675,0.304,0.522,0.409,1
0.587,0.859,0.883,0.774,0.576,0.589,1
0.559,0.52,0.542,0.432,0.871,0.054,0
0.251,0.472,0.718,0.756,0.418,0.34,0
0.041,0.541,0.386,0.583,0.598,0.657,1
0.294,0.733,0.544,0.392,0.631,0.613,0
0.302,0.574,0.745,0.377,0.923,0.918,1
0.494,0.59,0.521,0.401,0.177,0.83,1
0.158,0.393,0.47,0.637,0.221,0.352,0
0.896,0.692,0.398,0.456,0.582,0.362,1
0.361,0.736,0.689,0.53,0.606,0.178,1
0.491,0.181,0.595,0.254,0.494,0.027,0
0.748,0.613,0.681,0.275,0.314,0.36,1
0.534,0.673,0.971,0.496,0.636,0.782,1
0.159,0.556,0.826,0.179,0.795,0.239,1
0.861,0.383,0.4,0.424,0.576,0.749,0
0.913,0.953,0.559,0.35,0.446,0.342,1
0.061,0.39,0.482,0.742,0.296,0.316,0
0.479,0.572,0.802,0.139,0.847,0.305,1
0.791,0.12,0.806,0.267,0.26,0.658,1
0.276,0.302,0.496,0.721,0.718,0.418,0
0.594,0.575,0.603,0.34,0.556,0.412,1
0.932,0.723,0.828,0.204,0.427,0.172,1
0.408,0.474,0.554,0.555,0.231,0.424,1
0.384,0.221,0.777,0.825,0.228,0.821,1
0.68,0.585,0.792,0.769,0.414,0.41,1
0.729,0.826,0.499,0.173,0.646,0.812,1
0.658,0.549,0.876,0.266,0.517,0.657,1
0.452,0.336,0.819,0.709,0.659,0.484,1
0.509,0.342,0.41,0.887,0.518,0.619,1
0.568,0.247,0.626,0.881,0.756,0.347,1
0.867,0.26,0.684,0.632,0.276,0.472,1
0.616,0.669,0.893,0.573,0.236,0.342,0
0.871,0.582,0.771,0.763,0.594,0.452,1
0.132,0.221,0.389,0.071,0.258,0.821,1
0.776,0.862,0.922,0.071,0.311,0.656,1
0.972,0.671,0.906,0.364,0.353,0.556,1
0.113,0.262,0.631,0.727,0.545,0.177,1
0.59,0.19,0.332,0.483,0.11,0.778,0
0.239,0.67,0.287,0.523,0.08,0.68,1
0.614,0.664,0.56,0.086,0.569,0.663,1
0.526,0.144,0.335,0.366,0.188,0.837,1
0.347,0.768,0.597,0.432,0.664,0.838,0
0.559,0.643,0.825,0.777,0.325,0.38,1
0.547,0.565,0.624,0.132,0.065,0.533,1
0.611,0.417,0.132,0.643,0.513,0.469,0
0.314,0.802,0.813,0.088,0.543,0.518,1
0.572,0.553,0.591,0.521,0.856,0.524,1
0.623,0.17,0.495,0.722,0.705,0.898,1
0.563,0.593,0.883,0.191,0.586,0.466,1
0.651,0.982,0.676,0.68,0.804,0.233,0
0.768,0.88,0.307,0.723,0.722,0.578,0
0.197,0.227,0.778,0.147,0.301,0.529,0
0.916,0.756,0.511,0.136,0.696,0.851,1
0.636,0.519,0.482,0.166,0.157,0.757,1
0.543,0.262,0.761,0.651,0.483,0.31,1
0.271,0.199,0.709,0.713,0.517,0.416,1
0.827,0.59,0.481,0.891,0.762,0.331,0
0.184,0.735,0.387,0.646,0.676,0.301,1
0.5,0.453,0.732,0.503,0.329,0.15,1
0.979,0.466,0.953,0.597,0.056,0.666,1
0.501,0.984,0.264,0.247,0.355,0.552,0
0.744,0.256,0.95,0.685,0.252,0.844,1
0.425,0.814,0.479,0.521,0.531,0.846,0
0.677,0.235,0.276,0.646,0.575,0.585,1
0.98,0.78,0.49,0.642,0.34,0.308,1
0.388,0.417,0.745,0.247,0.315,0.57,0
0.332,0.546,0.408,0.794,0.556,0.352,1
0.809,0.165,0.408,0.495,0.658,0.531,1
0.347,0.772,0.328,0.229,0.777,0.765,1
0.3,0.303,0.334,0.357,0.622,0.59,0
0.049,0.793,0.371,0.377,0.442,0.429,0
0.745,0.6,0.847,0.462,0.702,0.561,1
0.099,0.839,0.919,0.563,0.354,0.822,1
0.347,0.723,0.925,0.39,0.426,0.235,0
0.589,0.55,0.774,0.181,0.378,0.438,0
0.856,0.356,0.535,0.535,0.252,0.766,1
0.398,0.73,0.505,0.53,0.215,0.527,1
0.29,0.621,0.932,0.582,0.604,0.678,1
0.569,0.732,0.62,0.264,0.378,0.922,1
0.674,0.423,0.661,0.683,0.797,0.514,0
0.436,0.364,0.528,0.803,0.596,0.605,0
0.193,0.423,0.643,0.719,0.698,0.13,1
0.48,0.448,0.615,0.539,0.656,0.471,1
0.276,0.485,0.291,0.389,0.482,0.603,0
0.686,0.61,0.77,0.117,0.381,0.873,1
0.505,0.241,0.845,0.552,0.876,0.268,0
0.356,0.644,0.863,0.209,0.394,0.641,1
0.562,0.154,0.387,0.126,0.823,0.313,0
0.771,0.23,0.547,0.977,0.194,0.75,1
0.229,0.093,0.261,0.77,0.258,0.324,1
0.48,0.475,0.379,0.648,0.761,0.554,1
0.971,0.831,0.786,0.259,0.83,0.199,1
0.754,0.546,0.525,0.861,0.749,0.366,1
0.74,0.354,0.691,0.817,0.376,0.509,1
0.66,0.815,0.594,0.361,0.385,0.575,1
0.355,0.499,0.751,0.619,0.652,0.656,1
0.233,0.763,0.993,0.966,0.531,0.182,0
0.65,0.517,0.543,0.351,0.517,0.514,0
0.139,0.742,0.502,0.818,0.244,0.804,1
0.255,0.684,0.939,0.469,0.454,0.754,0
0.701,0.519,0.704,0.793,0.112,0.583,1
0.889,0.158,0.675,0.346,0.338,0.436,1
0.2,0.536,0.933,0.576,0.278,0.602,1
0.266,0.488,0.453,0.595,0.717,0.755,1
0.486,0.404,0.469,0.62,0.763,0.307,1
0.776,0.624,0.284,0.21,0.321,0.316,1
0.521,0.153,0.224,0.504,0.854,0.385,0
0.789,0.599,0.429,0.567,0.715,0.293,1
0.545,0.31,0.809,0.383,0.506,0.215,1
0.245,0.273,0.744,0.854,0.224,0.58,1
0.78,0.898,0.732,0.762,0.185,0.584,1
0.435,0.177,0.405,0.436,0.342,0.434,1
0.46,0.318,0.37,0.16,0.209,0.558,0
0.682,0.347,0.808,0.82,0.811,0.591,1
0.29,0.519,0.655,0.559,0.459,0.837,1
0.455,0.537,0.988,0.537,0.3,0.906,0
0.537,0.39,0.815,0.293,0.587,0.695,1
0.641,0.292,0.811,0.567,0.677,0.665,0
0.782,0.38,0.59,0.308,0.929,0.673,1
0.336,0.329,0.691,0.405,0.335,0.488,0
0.139,0.548,0.286,0.189,0.965,0.543,0
0.649,0.298,0.883,0.248,0.98,0.218,0
0.455,0.781,0.7,0.61,0.099,0.744,0
0.452,0.513,0.452,0.54,0.155,0.754,0
0.545,0.346,0.601,0.189,0.934,0.384,1
